         Market	              -	      B-A1	      B-A0	         O
         makers	              -	      I-A1	      I-A0	         O
             in	              -	      I-A1	      I-A0	         O
         Nasdaq	              -	      I-A1	      I-A0	         O
over-the-counter	              -	      I-A1	      I-A0	         O
         stocks	              -	      E-A1	      E-A0	         O
            are	            are	       S-V	         O	         O
         adding	         adding	  B-AM-ADV	       S-V	         O
          their	              -	  I-AM-ADV	      B-A1	         O
         voices	              -	  I-AM-ADV	      E-A1	         O
             to	              -	  I-AM-ADV	      B-A2	         O
            the	              -	  I-AM-ADV	      I-A2	         O
       swelling	       swelling	  I-AM-ADV	      I-A2	       S-V
         chorus	              -	  I-AM-ADV	      I-A2	      S-A1
             of	              -	  I-AM-ADV	      I-A2	         O
     complaints	              -	  I-AM-ADV	      I-A2	         O
          about	              -	  I-AM-ADV	      I-A2	         O
        program	              -	  I-AM-ADV	      I-A2	         O
        trading	              -	  E-AM-ADV	      E-A2	         O
              .	              -	         O	         O	         O

          Their	              -	      B-A0	         O
     motivation	              -	      E-A0	         O
              ,	              -	         O	         O
        however	              -	  S-AM-DIS	         O
              ,	              -	         O	         O
            has	            has	       S-V	         O
              a	              -	      B-A1	         O
         strong	              -	      I-A1	         O
      practical	              -	      I-A1	         O
         aspect	              -	      E-A1	         O
              :	              -	         O	         O
        Program	              -	         O	      B-A1
        trading	              -	         O	      E-A1
             is	             is	         O	       S-V
      hazardous	              -	         O	      B-A2
             to	              -	         O	      I-A2
          their	              -	         O	      I-A2
      paychecks	              -	         O	      E-A2
              .	              -	         O	         O

            The	              -	      B-A1	      B-A0	         O	         O
      Donaldson	              -	  I-AM-ADV	         O	         O	      I-A0
              ,	              -	  I-AM-ADV	         O	         O	      I-A0
         Lufkin	              -	  I-AM-ADV	         O	         O	      I-A0
            amp	              -	  I-AM-ADV	         O	         O	      I-A0
       Jenrette	              -	  E-AM-ADV	         O	         O	      E-A0
              .	              -	         O	         O	         O	         O

    Stock-index	              -	         O	         O	      B-A0	         O
      arbitrage	              -	         O	         O	      I-A0	         O
             --	              -	         O	         O	      I-A0	         O
            the	              -	         O	         O	      I-A0	         O
computer-guided	              -	         O	         O	      I-A0	         O
         buying	              -	         O	         O	      I-A0	         O
            and	              -	         O	         O	      I-A0	         O
        selling	              -	         O	         O	      I-A0	         O
             of	              -	         O	         O	      I-A0	         O
         stocks	              -	         O	         O	      I-A0	         O
           with	              -	         O	         O	      I-A0	         O
     offsetting	     offsetting	       S-V	         O	      I-A0	         O
         trades	              -	      S-A2	         O	      I-A0	         O
             in	              -	         O	         O	      I-A0	         O
    stock-index	              -	         O	         O	      I-A0	         O
        futures	              -	         O	         O	      I-A0	         O
             to	              -	         O	         O	      I-A0	         O
         profit	         profit	         O	       S-V	      I-A0	         O
           from	              -	         O	      B-A1	      I-A0	         O
       fleeting	              -	         O	      I-A1	      I-A0	         O
          price	              -	         O	      I-A1	      I-A0	         O
  discrepancies	              -	         O	      E-A1	      I-A0	         O
             --	              -	         O	         O	      E-A0	         O
        affects	        affects	         O	         O	       S-V	         O
            the	              -	         O	         O	      B-A1	         O
            OTC	              -	         O	         O	      I-A1	         O
         market	              -	         O	         O	      E-A1	         O
       directly	              -	         O	         O	  S-AM-MNR	         O
        through	              -	         O	         O	      B-A1	         O
            the	              -	         O	         O	      I-A1	      B-A1
             31	              -	         O	         O	      I-A1	      I-A1
         stocks	              -	         O	         O	      I-A1	      E-A1
       included	       included	         O	         O	      I-A1	       S-V
             in	              -	         O	         O	      I-A1	      B-A2
       Standard	              -	         O	         O	      I-A1	      I-A2
            amp	              -	         O	         O	      I-A1	      I-A2
           Poor	              -	         O	         O	      I-A1	      I-A2
             's	              -	         O	         O	      I-A1	      I-A2
      500-stock	              -	         O	         O	      I-A1	      I-A2
          index	              -	         O	         O	      E-A1	      E-A2
              .	              -	         O	         O	         O	         O

            The	              -	      B-A1	      B-A1
          SampP	              -	      I-A1	      I-A1
            500	              -	      E-A1	      E-A1
             is	             is	       S-V	         O
          often	              -	    B-C-A1	  S-AM-TMP
           used	           used	    I-C-A1	       S-V
             in	              -	    I-C-A1	  B-AM-LOC
      arbitrage	              -	    I-C-A1	  I-AM-LOC
     strategies	              -	    E-C-A1	  E-AM-LOC
              .	              -	         O	         O

            The	              -	      B-A1	      B-A1	         O	         O
        portion	              -	      I-A1	      I-A1	         O	         O
             of	              -	      I-A1	      I-A1	         O	         O
            OTC	              -	      I-A1	      I-A1	         O	         O
         volume	              -	      I-A1	      I-A1	         O	         O
   attributable	              -	      I-A1	      I-A1	         O	         O
             to	              -	      I-A1	      I-A1	         O	         O
        program	              -	      I-A1	      I-A1	         O	         O
        trading	              -	      E-A1	      E-A1	         O	         O
             is	             is	       S-V	         O	         O	         O
            n't	              -	  S-AM-NEG	  S-AM-NEG	         O	         O
          known	          known	         O	       S-V	         O	         O
              ,	              -	         O	         O	         O	         O
             as	              -	  B-AM-TMP	         O	         O	         O
             it	              -	  I-AM-TMP	         O	      S-A1	         O
             is	             is	  I-AM-TMP	         O	       S-V	         O
             on	              -	  I-AM-TMP	         O	  B-AM-TMP	         O
            the	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
            New	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
           York	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
          Stock	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
       Exchange	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
              ,	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
          where	              -	  I-AM-TMP	         O	  I-AM-TMP	         O
             it	              -	  I-AM-TMP	         O	  I-AM-TMP	      S-A1
       amounted	       amounted	  I-AM-TMP	         O	  I-AM-TMP	       S-V
             to	              -	  I-AM-TMP	         O	  I-AM-TMP	      B-A2
           more	              -	  I-AM-TMP	         O	  I-AM-TMP	      I-A2
           than	              -	  I-AM-TMP	         O	  I-AM-TMP	      I-A2
             13	              -	  I-AM-TMP	         O	  I-AM-TMP	      I-A2
              %	              -	  I-AM-TMP	         O	  I-AM-TMP	      E-A2
             in	              -	  I-AM-TMP	         O	  I-AM-TMP	  B-AM-TMP
      September	              -	  E-AM-TMP	         O	  E-AM-TMP	  E-AM-TMP
              .	              -	         O	         O	         O	         O

      Estimates	              -	      B-A0
           from	              -	      I-A0
        traders	              -	      E-A0
            put	            put	       S-V
             it	              -	      S-A1
             at	              -	      B-A2
           less	              -	      I-A2
           than	              -	      I-A2
              5	              -	      I-A2
              %	              -	      I-A2
             of	              -	      I-A2
         Nasdaq	              -	      I-A2
             's	              -	      I-A2
        average	              -	      I-A2
          daily	              -	      I-A2
         volume	              -	      I-A2
             of	              -	      I-A2
        roughly	              -	      I-A2
            133	              -	      I-A2
        million	              -	      I-A2
         shares	              -	      E-A2
              .	              -	         O

          Other	              -	         O	         O
   market-maker	              -	         O	         O
         gripes	              -	         O	         O
              :	              -	         O	         O
        Program	              -	      B-A0	         O
        trading	              -	      E-A0	         O
           also	              -	  S-AM-DIS	         O
         causes	         causes	       S-V	         O
            the	              -	      B-A1	      B-A0
         Nasdaq	              -	      I-A1	      I-A0
      Composite	              -	      I-A1	      I-A0
          Index	              -	      I-A1	      E-A0
             to	              -	      I-A1	         O
           lose	           lose	      I-A1	       S-V
         ground	              -	      I-A1	      S-A1
        against	              -	      I-A1	  B-AM-LOC
          other	              -	      I-A1	  I-AM-LOC
       segments	              -	      I-A1	  I-AM-LOC
             of	              -	      I-A1	  I-AM-LOC
            the	              -	      I-A1	  I-AM-LOC
          stock	              -	      I-A1	  I-AM-LOC
         market	              -	      E-A1	  E-AM-LOC
              .	              -	         O	         O

        Because	              -	  B-AM-CAU	         O	         O
             of	              -	  I-AM-CAU	         O	         O
        program	              -	  I-AM-CAU	         O	         O
        trading	              -	  E-AM-CAU	         O	         O
             it	              -	      S-A1	         O	         O
             is	             is	       S-V	         O	         O
           more	              -	    B-C-A1	         O	         O
      difficult	              -	    I-C-A1	         O	         O
             to	              -	    I-C-A1	         O	         O
          trade	          trade	    I-C-A1	       S-V	         O
           many	              -	    I-C-A1	      B-A1	         O
            OTC	              -	    I-C-A1	      I-A1	         O
         stocks	              -	    I-C-A1	      E-A1	         O
        without	              -	    I-C-A1	  B-AM-MNR	         O
          sharp	              -	    I-C-A1	  I-AM-MNR	         O
          price	              -	    I-C-A1	  I-AM-MNR	         O
          moves	              -	    I-C-A1	  E-AM-MNR	         O
              ,	              -	    I-C-A1	         O	         O
              a	              -	    I-C-A1	         O	      B-A1
      condition	              -	    I-C-A1	         O	      E-A1
          known	          known	    I-C-A1	         O	       S-V
             as	              -	    I-C-A1	         O	      B-A2
    illiquidity	              -	    E-C-A1	         O	      E-A2
              .	              -	         O	         O	         O

       Moreover	              -	         O	         O	  S-AM-DIS	  S-AM-DIS	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O
            the	              -	      B-A1	      B-A1	      B-A1	      B-A0	         O	         O
          price	              -	      I-A1	      I-A1	      I-A1	      I-A0	         O	         O
     volatility	              -	      E-A1	      E-A1	      I-A1	      I-A0	         O	         O
           that	              -	    S-R-A1	    S-R-A1	      I-A1	      I-A0	         O	         O
             is	             is	       S-V	         O	      I-A1	      I-A0	         O	         O
      amplified	      amplified	    B-C-A1	       S-V	      I-A1	      I-A0	         O	         O
             by	              -	    I-C-A1	      B-A0	      I-A1	      I-A0	         O	         O
        program	              -	    I-C-A1	      I-A0	      I-A1	      I-A0	         O	         O
        trading	              -	    I-C-A1	      E-A0	      E-A1	      E-A0	         O	         O
             is	             is	    I-C-A1	         O	       S-V	         O	         O	         O
   undercutting	   undercutting	    I-C-A1	         O	    B-C-A1	       S-V	         O	         O
        efforts	              -	    I-C-A1	         O	    I-C-A1	      B-A1	         O	         O
             to	              -	    I-C-A1	         O	    I-C-A1	      I-A1	         O	         O
            woo	            woo	    I-C-A1	         O	    I-C-A1	      I-A1	       S-V	         O
     individual	              -	    I-C-A1	         O	    I-C-A1	      I-A1	      B-A1	         O
      investors	              -	    I-C-A1	         O	    I-C-A1	      I-A1	      E-A1	         O
           back	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  B-AM-DIR	         O
             to	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	         O
             an	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	      B-A0
            OTC	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	      I-A0
         market	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	      E-A0
           that	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	    S-R-A0
         sorely	              -	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	  S-AM-MNR
         misses	         misses	    I-C-A1	         O	    I-C-A1	      I-A1	  I-AM-DIR	       S-V
           them	              -	    E-C-A1	         O	    E-C-A1	      E-A1	  E-AM-DIR	      S-A1
              .	              -	         O	         O	         O	         O	         O	         O

           Some	              -	      B-A1
             of	              -	      I-A1
          these	              -	      I-A1
       problems	              -	      E-A1
            are	            are	       S-V
        neither	              -	      B-A1
            new	              -	      I-A1
            nor	              -	      I-A1
         unique	              -	      I-A1
             to	              -	      I-A1
            the	              -	      I-A1
            OTC	              -	      I-A1
         market	              -	      E-A1
              .	              -	         O

            But	              -	  S-AM-DIS	  S-AM-DIS	         O	         O	         O
            the	              -	      B-A0	      B-A0	         O	         O	         O
            big	              -	      I-A0	      I-A0	         O	         O	         O
              ,	              -	      I-A0	      I-A0	         O	         O	         O
          often	              -	      I-A0	      I-A0	         O	         O	         O
     tumultuous	              -	      I-A0	      I-A0	         O	         O	         O
          slide	              -	      I-A0	      I-A0	         O	         O	         O
             in	              -	      I-A0	      I-A0	         O	         O	         O
          stock	              -	      I-A0	      I-A0	         O	         O	         O
         prices	              -	      I-A0	      I-A0	         O	         O	         O
           this	              -	      I-A0	      I-A0	         O	         O	         O
          month	              -	      E-A0	      E-A0	         O	         O	         O
            has	            has	       S-V	         O	         O	         O	         O
         turned	         turned	      B-A1	       S-V	         O	         O	         O
           some	              -	      I-A1	      B-A1	         O	         O	         O
             of	              -	      I-A1	      I-A1	         O	         O	         O
          those	              -	      I-A1	      I-A1	      S-A0	      S-A1	      S-A0
            who	              -	      I-A1	      I-A1	    S-R-A0	    S-R-A1	    S-R-A0
           have	           have	      I-A1	      I-A1	       S-V	         O	         O
           been	           been	      I-A1	      I-A1	         O	       S-V	         O
      profiting	      profiting	      I-A1	      I-A1	         O	      S-A3	       S-V
           from	              -	      I-A1	      I-A1	         O	         O	      B-A1
            the	              -	      I-A1	      I-A1	         O	         O	      I-A1
       practice	              -	      I-A1	      I-A1	         O	         O	      E-A1
        against	              -	      I-A1	      I-A1	         O	         O	  B-AM-MNR
             it	              -	      E-A1	      E-A1	         O	         O	  E-AM-MNR
              .	              -	         O	         O	         O	         O	         O

          Peter	              -	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O
        DaPuzzo	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
              ,	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
           head	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
             of	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
         retail	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
         equity	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
        trading	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
             at	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
       Shearson	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
         Lehman	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
         Hutton	              -	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
              ,	              -	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O
   acknowledges	   acknowledges	       S-V	         O	         O	         O	         O	         O	         O	         O	         O
           that	              -	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O
             he	              -	      I-A1	      S-A1	      S-A1	         O	         O	         O	         O	         O	         O
            was	            was	      I-A1	       S-V	         O	         O	         O	         O	         O	         O	         O
            n't	              -	      I-A1	  B-AM-TMP	  S-AM-NEG	         O	         O	         O	         O	         O	         O
       troubled	       troubled	      I-A1	  I-AM-TMP	       S-V	         O	         O	         O	         O	         O	         O
             by	              -	      I-A1	  I-AM-TMP	      B-A0	         O	         O	         O	         O	         O	         O
        program	              -	      I-A1	  I-AM-TMP	      I-A0	         O	         O	         O	         O	         O	         O
        trading	              -	      I-A1	  I-AM-TMP	      I-A0	         O	         O	         O	         O	         O	         O
           when	              -	      I-A1	  I-AM-TMP	      I-A0	S-R-AM-TMP	         O	         O	         O	         O	         O
             it	              -	      I-A1	  I-AM-TMP	      I-A0	      S-A0	         O	         O	         O	         O	         O
          began	          began	      I-A1	  I-AM-TMP	      I-A0	       S-V	         O	         O	         O	         O	         O
             in	              -	      I-A1	  I-AM-TMP	      I-A0	  B-AM-LOC	         O	         O	         O	         O	         O
            the	              -	      I-A1	  I-AM-TMP	      I-A0	  I-AM-LOC	         O	         O	         O	         O	         O
      pre-crash	              -	      I-A1	  I-AM-TMP	      I-A0	  I-AM-LOC	         O	         O	         O	         O	         O
           bull	              -	      I-A1	  I-AM-TMP	      I-A0	  I-AM-LOC	         O	         O	         O	         O	         O
         market	              -	      I-A1	  I-AM-TMP	      E-A0	  E-AM-LOC	         O	         O	         O	         O	         O
        because	              -	      I-A1	  I-AM-TMP	  B-AM-CAU	         O	         O	         O	         O	         O	         O
             it	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      S-A0	         O	         O	         O	         O
          added	          added	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	       S-V	         O	         O	         O	         O
      liquidity	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      B-A1	      B-A1	      B-A1	         O	         O
            and	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	      I-A1	      I-A1	         O	         O
         people	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	      E-A1	      E-A1	         O	         O
           were	           were	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	       S-V	         O	         O	         O
        pleased	        pleased	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	    B-C-A1	       S-V	         O	         O
             to	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	    I-C-A1	      B-A2	         O	         O
            see	            see	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	    I-C-A1	      I-A2	       S-V	         O
          stock	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	    I-C-A1	      I-A2	      B-A1	      B-A1
         prices	              -	      I-A1	  I-AM-TMP	  I-AM-CAU	         O	      I-A1	    I-C-A1	      I-A2	      I-A1	      E-A1
         rising	         rising	      E-A1	  E-AM-TMP	  E-AM-CAU	         O	      E-A1	    E-C-A1	      E-A2	      E-A1	       S-V
              .	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O

             We	              -	      S-A1	         O	      B-A1	         O	         O
           were	           were	       S-V	         O	      I-A1	         O	         O
            n't	              -	  S-AM-NEG	         O	      I-A1	         O	         O
             as	              -	  B-AM-ADV	         O	      I-A1	         O	         O
      concerned	              -	  E-AM-ADV	         O	      I-A1	         O	         O
          until	              -	  B-AM-TMP	         O	      I-A1	         O	         O
           they	              -	  I-AM-TMP	      S-A1	      I-A1	         O	         O
         became	         became	  I-AM-TMP	       S-V	      I-A1	         O	         O
           sell	              -	  I-AM-TMP	      B-A2	      I-A1	         O	         O
       programs	              -	  I-AM-TMP	      E-A2	      E-A1	         O	         O
              ,	              -	  I-AM-TMP	         O	         O	         O	         O
           says	           says	  I-AM-TMP	         O	       S-V	         O	         O
            Mr.	              -	  I-AM-TMP	         O	      B-A0	      B-A0	         O
        DaPuzzo	              -	  I-AM-TMP	         O	      I-A0	      E-A0	         O
              ,	              -	  I-AM-TMP	         O	      I-A0	         O	         O
            who	              -	  I-AM-TMP	         O	      I-A0	    S-R-A0	         O
            now	              -	  I-AM-TMP	         O	      I-A0	  S-AM-TMP	         O
         thinks	         thinks	  I-AM-TMP	         O	      I-A0	       S-V	         O
             it	              -	  I-AM-TMP	         O	      I-A0	      B-A1	      S-A0
           adds	           adds	  I-AM-TMP	         O	      I-A0	      I-A1	       S-V
    unnecessary	              -	  I-AM-TMP	         O	      I-A0	      I-A1	      B-A1
     volatility	              -	  E-AM-TMP	         O	      E-A0	      E-A1	      E-A1
              .	              -	         O	         O	         O	         O	         O

       Shearson	              -	      B-A0
         Lehman	              -	      E-A0
              ,	              -	         O
        however	              -	  S-AM-DIS
              ,	              -	         O
       executes	       executes	       S-V
        program	              -	      B-A1
         trades	              -	      E-A1
            for	              -	      B-A2
        clients	              -	      E-A2
              .	              -	         O

        Merrill	              -	      B-A0
          Lynch	              -	      I-A0
              ,	              -	      I-A0
        Goldman	              -	      I-A0
          Sachs	              -	      I-A0
            and	              -	      I-A0
         Kidder	              -	      I-A0
        Peabody	              -	      I-A0
              ,	              -	      I-A0
             in	              -	      I-A0
       addition	              -	      I-A0
             to	              -	      I-A0
       Shearson	              -	      I-A0
              ,	              -	      E-A0
             do	             do	       S-V
  program-trade	              -	      B-A1
            OTC	              -	      I-A1
         stocks	              -	      E-A1
              .	              -	         O

       Shearson	              -	      B-A0	         O
              ,	              -	      I-A0	         O
        Merrill	              -	      I-A0	         O
          Lynch	              -	      I-A0	         O
            and	              -	      I-A0	         O
        Goldman	              -	      I-A0	         O
          Sachs	              -	      E-A0	         O
            say	            say	       S-V	         O
           they	              -	      B-A1	      S-A0
             do	             do	      I-A1	       S-V
             so	              -	      I-A1	      S-A1
           only	              -	      I-A1	  S-AM-ADV
            for	              -	      I-A1	      B-A1
      customers	              -	      I-A1	      E-A1
              ,	              -	      I-A1	         O
        however	              -	      E-A1	  S-AM-DIS
              .	              -	         O	         O

         Kidder	              -	      B-A0
        Peabody	              -	      E-A0
           does	           does	       S-V
        program	              -	      B-A1
        trading	              -	      E-A1
            for	              -	      B-A2
            its	              -	      I-A2
            own	              -	      I-A2
             as	              -	      I-A2
           well	              -	      I-A2
             as	              -	      I-A2
        clients	              -	      I-A2
              '	              -	      I-A2
       accounts	              -	      E-A2
              .	              -	         O

             Of	              -	  B-AM-DIS	         O	         O
         course	              -	  E-AM-DIS	         O	         O
              ,	              -	         O	         O	         O
          there	              -	         O	         O	         O
           were	           were	       S-V	         O	         O
           sell	              -	      B-A1	         O	         O
       programs	              -	      E-A1	         O	         O
             in	              -	  B-AM-TMP	         O	         O
           past	              -	  I-AM-TMP	         O	         O
          years	              -	  E-AM-TMP	         O	         O
              ,	              -	         O	         O	         O
            too	              -	  S-AM-DIS	         O	         O
              ,	              -	         O	         O	         O
            but	              -	         O	         O	         O
           they	              -	         O	      S-A1	      S-A2
           seem	           seem	         O	       S-V	         O
             to	              -	         O	    B-C-A1	         O
           hurt	           hurt	         O	    I-C-A1	       S-V
         market	              -	         O	    I-C-A1	      B-A1
         makers	              -	         O	    I-C-A1	      E-A1
           more	              -	         O	    I-C-A1	  B-AM-MNR
      painfully	              -	         O	    I-C-A1	  E-AM-MNR
          these	              -	         O	    I-C-A1	         O
           days	              -	         O	    E-C-A1	         O
              .	              -	         O	         O	         O

           That	              -	      S-A1	         O	         O	         O
             's	             's	       S-V	         O	         O	         O
        largely	              -	  B-AM-CAU	         O	         O	         O
        because	              -	  I-AM-CAU	         O	         O	         O
             of	              -	  I-AM-CAU	         O	         O	         O
      defensive	              -	  I-AM-CAU	      B-A1	         O	         O
       measures	              -	  I-AM-CAU	      E-A1	         O	         O
           they	              -	  I-AM-CAU	      S-A0	         O	         O
        adopted	        adopted	  I-AM-CAU	       S-V	         O	         O
          after	              -	  I-AM-CAU	  B-AM-TMP	         O	         O
            the	              -	  I-AM-CAU	  I-AM-TMP	  B-AM-TMP	         O
           1987	              -	  I-AM-CAU	  I-AM-TMP	  I-AM-TMP	         O
          crash	              -	  I-AM-CAU	  I-AM-TMP	  E-AM-TMP	         O
              ,	              -	  I-AM-CAU	  I-AM-TMP	         O	         O
           when	              -	  I-AM-CAU	  I-AM-TMP	         O	         O
     individual	              -	  I-AM-CAU	  I-AM-TMP	      B-A0	         O
      investors	              -	  I-AM-CAU	  I-AM-TMP	      E-A0	         O
           fled	           fled	  I-AM-CAU	  I-AM-TMP	       S-V	         O
            the	              -	  I-AM-CAU	  I-AM-TMP	      B-A1	         O
         market	              -	  I-AM-CAU	  I-AM-TMP	      E-A1	         O
            and	              -	  I-AM-CAU	  I-AM-TMP	         O	         O
        trading	              -	  I-AM-CAU	  I-AM-TMP	         O	      B-A1
       activity	              -	  I-AM-CAU	  I-AM-TMP	         O	      E-A1
       dwindled	       dwindled	  E-AM-CAU	  E-AM-TMP	         O	       S-V
              .	              -	         O	         O	         O	         O

         Market	              -	      B-A0	      B-A0	         O	      B-A0	         O	         O
         makers	              -	      E-A0	      E-A0	         O	      E-A0	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O
             to	              -	         O	  B-AM-PNC	         O	         O	         O	         O
            cut	            cut	       S-V	  I-AM-PNC	         O	         O	         O	         O
          costs	              -	      S-A1	  E-AM-PNC	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O
        slashed	        slashed	         O	       S-V	         O	         O	         O	         O
    inventories	              -	         O	      B-A1	         O	         O	         O	         O
             of	              -	         O	      I-A1	         O	         O	         O	         O
         stocks	              -	         O	      I-A1	      S-A1	         O	         O	         O
           they	              -	         O	      I-A1	      S-A0	         O	         O	         O
           keep	           keep	         O	      I-A1	       S-V	         O	         O	         O
             on	              -	         O	      I-A1	      B-A1	         O	         O	         O
           hand	              -	         O	      I-A1	      E-A1	         O	         O	         O
             to	              -	         O	      I-A1	         O	         O	         O	         O
           sell	           sell	         O	      I-A1	         O	       S-V	         O	         O
      investors	              -	         O	      I-A1	         O	      S-A1	         O	         O
           when	              -	         O	      I-A1	         O	  B-AM-TMP	S-R-AM-TMP	S-R-AM-TMP
          other	              -	         O	      I-A1	         O	  I-AM-TMP	      B-A1	      B-A0
        holders	              -	         O	      I-A1	         O	  I-AM-TMP	      E-A1	      E-A0
            are	            are	         O	      I-A1	         O	  I-AM-TMP	       S-V	         O
            n't	              -	         O	      I-A1	         O	  I-AM-TMP	    B-C-A1	  S-AM-NEG
        selling	        selling	         O	      E-A1	         O	  E-AM-TMP	    E-C-A1	       S-V
              .	              -	         O	         O	         O	         O	         O	         O

